Competition,Age,Squad_size,Market_value,Market_value_of_players,MV_Top_18_players,Share_of_MV
Premier League,27.2,23,â‚¬1050.00m,â‚¬45.75m,â‚¬988.00m,93.9 %
Ligue 1,26.1,35,â‚¬997.75m,â‚¬28.51m,â‚¬889.00m,89.1 %
Premier League,28.0,28,â‚¬937.25m,â‚¬33.47m,â‚¬850.00m,90.7 %
Premier League,26.8,27,â‚¬882.50m,â‚¬32.69m,â‚¬816.00m,92.5 %
Premier League,27.0,27,â‚¬879.50m,â‚¬32.57m,â‚¬810.50m,92.2 %
Bundesliga,25.9,26,â‚¬852.90m,â‚¬32.80m,â‚¬819.90m,96.1 %
LaLiga,27.2,27,â‚¬793.50m,â‚¬29.39m,â‚¬708.00m,89.2 %
LaLiga,28.1,22,â‚¬755.20m,â‚¬34.33m,â‚¬730.00m,96.7 %
Premier League,25.5,24,â‚¬697.00m,â‚¬29.04m,â‚¬632.00m,90.7 %
LaLiga,25.3,29,â‚¬677.00m,â‚¬23.34m,â‚¬620.00m,91.6 %
Serie A,27.3,25,â‚¬640.40m,â‚¬25.62m,â‚¬597.00m,93.2 %
Serie A,28.8,28,â‚¬573.30m,â‚¬20.48m,â‚¬548.00m,95.6 %
Bundesliga,24.6,34,â‚¬565.90m,â‚¬16.64m,â‚¬518.00m,91.5 %
Premier League,26.9,28,â‚¬550.10m,â‚¬19.65m,â‚¬502.00m,91.3 %
Premier League,25.3,26,â‚¬548.50m,â‚¬21.10m,â‚¬484.00m,88.2 %
Serie A,27.6,25,â‚¬517.75m,â‚¬20.71m,â‚¬493.00m,95.2 %
Bundesliga,24.2,28,â‚¬505.55m,â‚¬18.06m,â‚¬454.50m,89.9 %
Serie A,26.2,28,â‚¬466.90m,â‚¬16.68m,â‚¬424.00m,90.8 %
Premier League,27.8,26,â‚¬433.75m,â‚¬16.68m,â‚¬401.20m,92.5 %
LaLiga,28.2,26,â‚¬429.40m,â‚¬16.52m,â‚¬391.00m,91.1 %
Serie A,27.1,26,â‚¬415.35m,â‚¬15.98m,â‚¬384.50m,92.6 %
Serie A,25.1,30,â‚¬410.35m,â‚¬13.68m,â‚¬375.80m,91.6 %
Premier League,25.7,24,â‚¬408.30m,â‚¬17.01m,â‚¬392.80m,96.2 %
Premier League,26.3,24,â‚¬391.10m,â‚¬16.30m,â‚¬376.30m,96.2 %
LaLiga,26.0,26,â‚¬377.00m,â‚¬14.50m,â‚¬354.50m,94.0 %
Premier League,28.8,24,â‚¬353.25m,â‚¬14.72m,â‚¬341.50m,96.7 %
Bundesliga,24.7,27,â‚¬352.75m,â‚¬13.06m,â‚¬323.00m,91.6 %
Ligue 1,24.5,28,â‚¬350.90m,â‚¬12.53m,â‚¬313.00m,89.2 %
Ligue 1,25.5,29,â‚¬348.50m,â‚¬12.02m,â‚¬333.10m,95.6 %
Eredivisie,25.6,25,â‚¬343.20m,â‚¬13.73m,â‚¬322.70m,94.0 %
Serie A,27.5,33,â‚¬326.60m,â‚¬9.90m,â‚¬301.80m,92.4 %
Bundesliga,25.4,28,â‚¬300.00m,â‚¬10.71m,â‚¬288.90m,96.3 %
LaLiga,28.2,24,â‚¬298.90m,â‚¬12.45m,â‚¬284.00m,95.0 %
Bundesliga,25.2,32,â‚¬287.83m,â‚¬8.99m,â‚¬260.40m,90.5 %
Liga Bwin,27.1,29,â‚¬285.50m,â‚¬9.84m,â‚¬239.00m,83.7 %
Ligue 1,25.4,26,â‚¬272.00m,â‚¬10.46m,â‚¬262.50m,96.5 %
Liga Bwin,26.7,26,â‚¬265.00m,â‚¬10.19m,â‚¬242.00m,91.3 %
Ligue 1,23.4,30,â‚¬262.75m,â‚¬8.76m,â‚¬252.00m,95.9 %
Premier League,24.9,24,â‚¬252.70m,â‚¬10.53m,â‚¬247.50m,97.9 %
LaLiga,25.6,27,â‚¬251.90m,â‚¬9.33m,â‚¬234.50m,93.1 %
Serie A,26.9,26,â‚¬248.80m,â‚¬9.57m,â‚¬232.80m,93.6 %
Premier League,25.8,26,â‚¬248.10m,â‚¬9.54m,â‚¬226.80m,91.4 %
Premier League,28.2,25,â‚¬241.40m,â‚¬9.66m,â‚¬223.00m,92.4 %
Premier League,25.6,27,â‚¬241.30m,â‚¬8.94m,â‚¬224.00m,92.8 %
Premier League,27.5,26,â‚¬239.45m,â‚¬9.21m,â‚¬223.00m,93.1 %
Bundesliga,25.5,32,â‚¬231.25m,â‚¬7.23m,â‚¬211.75m,91.6 %
LaLiga,28.6,28,â‚¬223.40m,â‚¬7.98m,â‚¬208.20m,93.2 %
Ligue 1,24.1,26,â‚¬218.25m,â‚¬8.39m,â‚¬202.80m,92.9 %
Serie A,27.2,27,â‚¬216.90m,â‚¬8.03m,â‚¬198.70m,91.6 %
Bundesliga,25.8,32,â‚¬207.65m,â‚¬6.49m,â‚¬181.30m,87.3 %
Liga Bwin,25.9,23,â‚¬198.20m,â‚¬8.62m,â‚¬189.00m,95.4 %
Premier League,25.2,29,â‚¬189.55m,â‚¬6.54m,â‚¬174.50m,92.1 %
LaLiga,26.4,26,â‚¬188.30m,â‚¬7.24m,â‚¬179.00m,95.1 %
Ligue 1,23.6,28,â‚¬185.15m,â‚¬6.61m,â‚¬181.90m,98.2 %
Serie A,26.0,30,â‚¬184.13m,â‚¬6.14m,â‚¬165.00m,89.6 %
Premier League,25.7,29,â‚¬184.00m,â‚¬6.34m,â‚¬166.50m,90.5 %
Premier League,27.0,22,â‚¬173.70m,â‚¬7.90m,â‚¬171.30m,98.6 %
Bundesliga,23.4,33,â‚¬169.63m,â‚¬5.14m,â‚¬153.00m,90.2 %
Premier League,24.5,31,â‚¬166.45m,â‚¬5.37m,â‚¬154.00m,92.5 %
LaLiga,27.1,25,â‚¬159.45m,â‚¬6.38m,â‚¬153.20m,96.1 %
Eredivisie,25.0,27,â‚¬158.05m,â‚¬5.85m,â‚¬147.50m,93.3 %
Serie A,26.9,29,â‚¬153.53m,â‚¬5.29m,â‚¬142.80m,93.0 %
Bundesliga,23.1,28,â‚¬152.40m,â‚¬5.44m,â‚¬137.60m,90.3 %
Jupiler Pro League,24.1,31,â‚¬150.40m,â‚¬4.85m,â‚¬139.00m,92.4 %
Serie A,27.4,31,â‚¬147.75m,â‚¬4.77m,â‚¬130.00m,88.0 %
Championship,27.0,29,â‚¬147.70m,â‚¬5.09m,â‚¬132.00m,89.4 %
Premier League,29.9,24,â‚¬145.30m,â‚¬6.05m,â‚¬138.50m,95.3 %
LaLiga,28.0,21,â‚¬143.80m,â‚¬6.85m,â‚¬140.50m,97.7 %
Serie A,27.0,31,â‚¬143.20m,â‚¬4.62m,â‚¬125.95m,88.0 %
Serie A,25.7,28,â‚¬142.48m,â‚¬5.09m,â‚¬133.30m,93.6 %
Bundesliga,26.3,28,â‚¬137.05m,â‚¬4.89m,â‚¬124.70m,91.0 %
Premier League,27.9,26,â‚¬133.00m,â‚¬5.12m,â‚¬119.00m,89.5 %
Premier League,25.4,30,â‚¬133.00m,â‚¬4.43m,â‚¬118.50m,89.1 %
Super Lig,27.7,32,â‚¬127.05m,â‚¬3.97m,â‚¬115.10m,90.6 %
Jupiler Pro League,23.3,24,â‚¬127.00m,â‚¬5.29m,â‚¬117.50m,92.5 %
Premier League,26.1,25,â‚¬125.50m,â‚¬5.02m,â‚¬121.00m,96.4 %
Bundesliga,25.4,26,â‚¬125.15m,â‚¬4.81m,â‚¬119.40m,95.4 %
Serie A,27.1,27,â‚¬124.80m,â‚¬4.62m,â‚¬111.40m,89.3 %
Championship,28.0,27,â‚¬124.30m,â‚¬4.60m,â‚¬113.90m,91.6 %
Liga Bwin,25.5,28,â‚¬119.15m,â‚¬4.26m,â‚¬108.00m,90.6 %
Super League 1,26.1,33,â‚¬118.45m,â‚¬3.59m,â‚¬105.25m,88.9 %
Super League,25.3,32,â‚¬114.33m,â‚¬3.57m,â‚¬102.50m,89.7 %
Premier League,27.6,24,â‚¬113.25m,â‚¬4.72m,â‚¬109.10m,96.3 %
Championship,25.4,25,â‚¬113.05m,â‚¬4.52m,â‚¬109.90m,97.2 %
LaLiga,28.1,28,â‚¬112.50m,â‚¬4.02m,â‚¬104.10m,92.5 %
1.HNL,26.2,29,â‚¬109.20m,â‚¬3.77m,â‚¬99.40m,91.0 %
Serie A,26.7,26,â‚¬108.45m,â‚¬4.17m,â‚¬99.90m,92.1 %
Premiership,27.5,29,â‚¬105.00m,â‚¬3.62m,â‚¬98.70m,94.0 %
Liga Profesional,27.7,29,â‚¬103.93m,â‚¬3.58m,â‚¬96.35m,92.7 %
Super League,26.7,31,â‚¬102.18m,â‚¬3.30m,â‚¬86.83m,85.0 %
Serie A,27.7,25,â‚¬101.45m,â‚¬4.06m,â‚¬95.20m,93.8 %
Eredivisie,23.5,28,â‚¬101.40m,â‚¬3.62m,â‚¬98.90m,97.5 %
Bundesliga,25.5,25,â‚¬100.50m,â‚¬4.02m,â‚¬96.30m,95.8 %
LaLiga,27.6,25,â‚¬100.30m,â‚¬4.01m,â‚¬90.30m,90.0 %
Serie A,27.5,34,â‚¬99.20m,â‚¬2.92m,â‚¬86.00m,86.7 %
Serie A,26.9,31,â‚¬98.45m,â‚¬3.18m,â‚¬84.95m,86.3 %
Bundesliga,26.1,28,â‚¬97.10m,â‚¬3.47m,â‚¬88.00m,90.6 %
Premier League,24.8,29,â‚¬97.03m,â‚¬3.35m,â‚¬86.50m,89.2 %
