Club,Competition,Age,Squad_size,Market_value,Market_value_of_players,MV_Top_18_players,Share_of_MV
Manchester City,Premier League,27.2,23,€1050.00m,€45.75m,€988.00m,93.9 %
Paris Saint-Germain,Ligue 1,26.1,35,€997.75m,€28.51m,€889.00m,89.1 %
Manchester United,Premier League,28.0,28,€937.25m,€33.47m,€850.00m,90.7 %
Chelsea FC,Premier League,26.8,27,€882.50m,€32.69m,€816.00m,92.5 %
Liverpool FC,Premier League,27.0,27,€879.50m,€32.57m,€810.50m,92.2 %
Bayern Munich,Bundesliga,25.9,26,€852.90m,€32.80m,€819.90m,96.1 %
Real Madrid,LaLiga,27.2,27,€793.50m,€29.39m,€708.00m,89.2 %
Atlético de Madrid,LaLiga,28.1,22,€755.20m,€34.33m,€730.00m,96.7 %
Tottenham Hotspur,Premier League,25.5,24,€697.00m,€29.04m,€632.00m,90.7 %
FC Barcelona,LaLiga,25.3,29,€677.00m,€23.34m,€620.00m,91.6 %
Juventus FC,Serie A,27.3,25,€640.40m,€25.62m,€597.00m,93.2 %
Inter Milan,Serie A,28.8,28,€573.30m,€20.48m,€548.00m,95.6 %
Borussia Dortmund,Bundesliga,24.6,34,€565.90m,€16.64m,€518.00m,91.5 %
Leicester City,Premier League,26.9,28,€550.10m,€19.65m,€502.00m,91.3 %
Arsenal FC,Premier League,25.3,26,€548.50m,€21.10m,€484.00m,88.2 %
SSC Napoli,Serie A,27.6,25,€517.75m,€20.71m,€493.00m,95.2 %
RB Leipzig,Bundesliga,24.2,28,€505.55m,€18.06m,€454.50m,89.9 %
AC Milan,Serie A,26.2,28,€466.90m,€16.68m,€424.00m,90.8 %
Everton FC,Premier League,27.8,26,€433.75m,€16.68m,€401.20m,92.5 %
Sevilla FC,LaLiga,28.2,26,€429.40m,€16.52m,€391.00m,91.1 %
Atalanta BC,Serie A,27.1,26,€415.35m,€15.98m,€384.50m,92.6 %
AS Roma,Serie A,25.1,30,€410.35m,€13.68m,€375.80m,91.6 %
Aston Villa,Premier League,25.7,24,€408.30m,€17.01m,€392.80m,96.2 %
Wolverhampton Wanderers,Premier League,26.3,24,€391.10m,€16.30m,€376.30m,96.2 %
Real Sociedad,LaLiga,26.0,26,€377.00m,€14.50m,€354.50m,94.0 %
